Id,MPEG-1,MPEG-2,MPEG-4,QuickTime,RealMedia,Year,Genre,Keywords,Duration,Color,Sound,Amount of Motion,Language,Sponsor,Contributing Organization,Transcript Available,Digitization Date,Digitizing Organization
3941,,http://archive.org/download/ItHappen1937/ItHappen1937.mpeg,http://movies02.archive.org/0/movies/ItHappen1937/ItHappen1937.avi,,,1937,Ephemeral,"Philadelphia, Pa.;Cities: U.S.;Landscapes: Cultural;",00:17:09,No,Yes,n/a,English,Mayfair Business Men's Association,Internet Archive,No,2001,Internet Archive
3940,,http://archive.org/download/ItCantLa1944/ItCantLa1944.mpeg,http://movies02.archive.org/3/movies/ItCantLa1944/ItCantLa1944.avi,,,1944,Ephemeral,World War II: Homefront;,00:18:29,No,Yes,n/a,English,N/A,Internet Archive,No,2001,Internet Archive
3938,,http://archive.org/download/IronCoun1952/IronCoun1952.mpeg,http://www.ibiblio.org/openvideo/video/mpg4/86.mp4,,,1952,Ephemeral,Mining;Minnesota;Sustainability;,00:22:00,Yes,Yes,n/a,English,Lake Superior Industrial Bureau,Internet Archive,No,2001,Internet Archive
3937,http://archive.org/download/IranBetw1954/IranBetw1954.mpg,http://archive.org/download/IranBetw1954/IranBetw1954.mpeg,http://www.ibiblio.org/openvideo/video/mpg4/85.avi,,,1954,Ephemeral,Iran;,00:14:00,No,Yes,n/a,English,N/A,Internet Archive,No,2001,Internet Archive
3936,,http://archive.org/download/Introduc1942/Introduc1942.mpeg,http://movies02.archive.org/3/movies/Introduc1942/Introduc1942.avi,,,1942,Ephemeral,Haiti;Caribbean region;Travelogues;,00:09:21,Yes,Yes,n/a,English,U.S. Office of Inter-American Affairs,Internet Archive,No,2001,Internet Archive
3934,http://archive.org/download/Internat1941/Internat1941.mpg,http://archive.org/download/Internat1941/Internat1941.mpeg,http://movies02.archive.org/2/movies/Internat1941/Internat1941.avi,,,1941,Ephemeral,Consumerism;Marriage;Sales training;,00:19:48,Yes,Yes,n/a,English,International Silver Company,Internet Archive,No,2001,Internet Archive
3935,http://archive.org/download/Introduc1951/Introduc1951.mpg,http://archive.org/download/Introduc1951/Introduc1951.mpeg,http://movies02.archive.org/3/movies/Introduc1951/Introduc1951.avi,,,1951,Ephemeral,Globalization;Economics;,00:10:11,No,Yes,n/a,English,N/A,Internet Archive,No,2001,Internet Archive
3933,,http://archive.org/download/Integrat1960/Integrat1960.mpeg,http://movies02.archive.org/2/movies/Integrat1960/Integrat1960.avi,,,1960,Ephemeral,African Americans;Social issues;Racism;,00:20:03,No,Yes,n/a,English,N/A,Internet Archive,No,2001,Internet Archive
3931,,http://archive.org/download/InnerCit1958/InnerCit1958.mpeg,http://movies02.archive.org/2/movies/InnerCit1958/InnerCit1958.avi,,,1958,Ephemeral,Social services;Medicine: Psychiatry;Children: Disabled;,00:09:37,No,Yes,n/a,English,United Fund,Internet Archive,No,2001,Internet Archive
3932,http://archive.org/download/InsideIn1941/InsideIn1941.mpg,http://archive.org/download/InsideIn1941/InsideIn1941.mpeg,http://movies02.archive.org/2/movies/InsideIn1941/InsideIn1941.avi,,,1941,Ephemeral,Perception: X-rays;Motion pictures: Special effects;Motion pictures: X-rays;,00:07:55,No,Yes,n/a,English,"Chevrolet Division, General Motors Corporation",Internet Archive,No,2001,Internet Archive
3929,,http://archive.org/download/Ingenuit1958/Ingenuit1958.mpeg,http://www.ibiblio.org/openvideo/video/mpg4/84.avi,,,1958,Ephemeral,Car culture: Youth;Car culture: Hot rods;California: History;,00:12:14,Yes,Yes,n/a,English,Hot Rod Magazine,Internet Archive,No,2001,Internet Archive
3927,,http://archive.org/download/IntheSub1957/IntheSub1957.mpeg,http://movies02.archive.org/2/movies/IntheSub1957/IntheSub1957.avi,,,1957,Ephemeral,Suburbia;Cold War;Consumerism;,00:19:29,Yes,Yes,n/a,English,Redbook Magazine,Internet Archive,No,2001,Internet Archive
