Id,MPEG-1,MPEG-2,MPEG-4,QuickTime,RealMedia,Year,Genre,Keywords,Duration,Color,Sound,Amount of Motion,Language,Sponsor,Contributing Organization,Transcript Available,Digitization Date,Digitizing Organization
475,http://www.ibiblio.org/openvideo/video/umd/wth-03.mpg,,,,,0,Documentary,Hurricanes;,00:00:48,Yes,No,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1999,University of Maryland
476,http://www.ibiblio.org/openvideo/video/umd/wth-all.mpg,,,,,0,Documentary,Hurricanes;,00:03:55,Yes,No,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1999,University of Maryland
477,http://www.ibiblio.org/openvideo/video/cmu/NAD58.mpg,,,,,0,Documentary,,00:07:42,Yes,Yes,Medium,English,NASA CORE,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
478,http://www.ibiblio.org/openvideo/video/cmu/NAD57.mpg,,,,,1994,Documentary,,00:07:06,Yes,Yes,Medium,English,NASA CORE,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
479,http://www.ibiblio.org/openvideo/video/cmu/NAD55.mpg,,,,,1993,Documentary,,00:07:06,Yes,Yes,Medium,English,NASA CORE,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
480,http://www.ibiblio.org/openvideo/video/cmu/NAD53.mpg,,,,,1993,Documentary,,00:14:31,Yes,Yes,Medium,English,NASA CORE,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
481,http://www.ibiblio.org/openvideo/video/cmu/NAD52.mpg,,,,,1993,Documentary,,00:14:20,Yes,Yes,Medium,English,NASA CORE,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
482,http://www.ibiblio.org/openvideo/video/cmu/NAD33.mpg,,,,,1986,Documentary,NASA;Space;,00:27:41,Yes,Yes,Medium,English,NASA CORE,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
483,http://www.ibiblio.org/openvideo/video/cmu/NAD32.mpg,,,,,1986,Documentary,NASA;Space;,00:29:03,Yes,Yes,Medium,English,NASA CORE,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
484,http://www.ibiblio.org/openvideo/video/cmu/NAD31.mpg,,,,,1986,Documentary,NASA;Space;,00:29:09,Yes,Yes,Medium,English,NASA CORE,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
485,http://www.ibiblio.org/openvideo/video/cmu/NAD30.mpg,,,,,1986,Documentary,NASA;Space;,00:29:49,Yes,Yes,Medium,English,NASA CORE,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
486,http://www.ibiblio.org/openvideo/video/cmu/NAD28.mpg,,,,,1986,Documentary,NASA;Space;,00:29:26,Yes,Yes,Medium,English,NASA CORE,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
